State_Code,State_Name,NGPF_Grade,Details
AL,Alabama,A,"Implemented for the Class of 2017. Requires a one-half credit course in Personal Finance."
AK,Alaska,F,"No state-wide standalone personal finance requirement for high school graduation."
AZ,Arizona,B,"Requires personal finance concepts to be embedded in economics or math, but no standalone course mandate."
AR,Arkansas,A,"Requires a standalone personal finance course. The requirement was strengthened by recent legislation."
CA,California,A,"AB 2927 signed in 2024. Guarantees a one-semester personal finance course starting with the Class of 2031."
CO,Colorado,C,"Standards are embedded in other courses; local districts make standalone decisions."
CT,Connecticut,A,"Passed legislation in 2023 requiring a personal finance course for the Class of 2027."
DE,Delaware,C,"Requires a half-credit course or equivalent integrated instruction for the Class of 2011 and beyond."
FL,Florida,A,"The Dorothy L. Hukill Financial Literacy Act guarantees a standalone course starting with the Class of 2027."
GA,Georgia,A,"Mandated a half-credit course in personal finance starting in 2024."
HI,Hawaii,F,"No state-wide standalone requirement. Schools offer courses as electives."
ID,Idaho,A,"Requires a financial literacy course integrated or as a standalone for graduation."
IL,Illinois,B,"Requires 9 weeks of consumer education, but not necessarily a standalone full semester course."
IN,Indiana,A,"SB 35 (2023) mandates a personal finance course for high school graduation (Class of 2028)."
IA,Iowa,A,"Requires a standalone personal finance course for graduation starting with the Class of 2023."
KS,Kansas,C,"No standalone course required, though standards exist."
KY,Kentucky,A,"Requires a financial literacy course for graduation, implemented for the Class of 2024."
LA,Louisiana,A,"Passed a mandate in 2023 requiring personal finance for graduation."
ME,Maine,C,"Embedded standards, but no standalone course requirement."
MD,Maryland,B,"Embedded standards, but no uniform statewide standalone requirement."
MA,Massachusetts,F,"No statewide requirement, though legislation has been frequently debated."
MI,Michigan,A,"Requires a half-credit personal finance course for graduation starting with the Class of 2028."
MN,Minnesota,A,"Signed into law in 2023, requiring a personal finance course for graduation."
MS,Mississippi,A,"Requires a standalone personal finance course for graduation."
MO,Missouri,A,"A pioneer state. Has required a one-half credit personal finance course for graduation since 2010."
MT,Montana,D,"No standalone requirement for high school graduation."
NE,Nebraska,A,"Requires a financial literacy course for graduation starting with the Class of 2024."
NV,Nevada,A,"Requires a standalone personal finance course for high school graduation."
NH,New Hampshire,A,"Requires a standalone personal finance course starting with the Class of 2027."
NJ,New Jersey,B,"Requires a half-credit of financial, economic, business, and entrepreneurial literacy. Not tracked as a standalone mandate by NGPF."
NM,New Mexico,C,"Requires personal finance as an elective option, but not a strict graduation mandate for all."
NY,New York,A,"Board of Regents recently moved to require personal finance for graduation."
NC,North Carolina,A,"Requires the EPF (Economics and Personal Finance) course for graduation starting Class of 2024."
ND,North Dakota,C,"No standalone mandate. Currently embedded in other subjects."
OH,Ohio,A,"Requires a one-half unit course in financial literacy for graduation starting Class of 2026."
OK,Oklahoma,B,"Requires the Passport to Financial Literacy, embedded rather than a strict standalone 1-semester course."
OR,Oregon,A,"Signed SB 3 in 2023, requiring a one-half credit personal finance course starting Class of 2027."
PA,Pennsylvania,A,"Passed Act 73 in 2023, requiring a standalone course starting Class of 2027."
RI,Rhode Island,A,"Requires a financial literacy course for graduation starting with the Class of 2024."
SC,South Carolina,A,"Requires a half-credit personal finance course starting with the Class of 2027."
SD,South Dakota,F,"Embedded within economics, no standalone requirement."
TN,Tennessee,A,"A pioneering state. Requires a standalone personal finance course for graduation since 2013."
TX,Texas,B,"Embedded in economics, but no standalone requirement for all graduation plans."
UT,Utah,A,"The gold standard pioneer. Required a half-credit standalone course since 2008 and fully funds it."
VT,Vermont,C,"No standalone state requirement."
VA,Virginia,A,"Requires a standalone Economics and Personal Finance course for graduation since 2015."
WA,Washington,C,"Requires districts to offer it, but it is not a state-mandated graduation requirement for students."
WV,West Virginia,A,"Requires a civics and personal finance course for graduation."
WI,Wisconsin,A,"Passed Act 60 in 2023, requiring a personal finance course for graduation starting Class of 2028."
WY,Wyoming,D,"No state-wide standalone personal finance requirement."
